date,sunset,season,year,week,radar,sunset_timestamp,closest_file
2007-04-23,2007-04-24 05:05:35,spring,2007,17,KRIW,1177391135,KRIW20070424_050645.gz
2007-04-24,2007-04-25 05:06:45,spring,2007,17,KRIW,1177477605,KRIW20070425_050241.gz
2007-04-25,2007-04-26 05:07:54,spring,2007,17,KRIW,1177564074,KRIW20070426_051040.gz
2007-04-26,2007-04-27 05:09:04,spring,2007,17,KRIW,1177650544,KRIW20070427_051306.gz
2007-04-27,2007-04-28 05:10:13,spring,2007,17,KRIW,1177737013,KRIW20070428_051117.gz
2007-04-28,2007-04-29 05:11:22,spring,2007,17,KRIW,1177823482,KRIW20070429_050717.gz
2007-04-29,2007-04-30 05:12:31,spring,2007,17,KRIW,1177909951,KRIW20070430_051308.gz
2007-04-30,2007-05-01 05:13:41,spring,2007,18,KRIW,1177996421,KRIW20070501_051523.gz
2007-05-01,2007-05-02 05:14:49,spring,2007,18,KRIW,1178082889,KRIW20070502_051445.gz
2007-05-02,2007-05-03 05:15:58,spring,2007,18,KRIW,1178169358,KRIW20070503_051511.gz
2007-05-03,2007-05-04 05:17:07,spring,2007,18,KRIW,1178255827,KRIW20070504_051634.gz
2007-05-04,2007-05-05 05:18:15,spring,2007,18,KRIW,1178342295,KRIW20070505_051721.gz
2007-05-05,2007-05-06 05:19:23,spring,2007,18,KRIW,1178428763,KRIW20070506_052010.gz
2007-05-06,2007-05-07 05:20:31,spring,2007,18,KRIW,1178515231,KRIW20070507_052155.gz
2007-05-07,2007-05-08 05:21:38,spring,2007,19,KRIW,1178601698,KRIW20070508_052119.gz
2007-05-08,2007-05-09 05:22:45,spring,2007,19,KRIW,1178688165,KRIW20070509_051919.gz
2007-05-09,2007-05-10 05:23:52,spring,2007,19,KRIW,1178774632,KRIW20070510_052142.gz
2007-05-10,2007-05-11 05:24:59,spring,2007,19,KRIW,1178861099,KRIW20070511_052040.gz
2007-05-11,2007-05-12 05:26:05,spring,2007,19,KRIW,1178947565,KRIW20070512_052849.gz
2007-05-12,2007-05-13 05:27:10,spring,2007,19,KRIW,1179034030,KRIW20070513_052723.gz
2007-05-13,2007-05-14 05:28:15,spring,2007,19,KRIW,1179120495,KRIW20070514_052816.gz
2007-05-14,2007-05-15 05:29:20,spring,2007,20,KRIW,1179206960,KRIW20070515_052826.gz
2007-05-15,2007-05-16 05:30:24,spring,2007,20,KRIW,1179293424,KRIW20070516_052618.gz
2007-05-16,2007-05-17 05:31:27,spring,2007,20,KRIW,1179379887,KRIW20070517_053228.gz
2007-05-17,2007-05-18 05:32:30,spring,2007,20,KRIW,1179466350,KRIW20070518_053021.gz
2007-05-18,2007-05-19 05:33:32,spring,2007,20,KRIW,1179552812,KRIW20070519_053408.gz
2007-05-19,2007-05-20 05:34:33,spring,2007,20,KRIW,1179639273,KRIW20070520_053527.gz
2007-05-20,2007-05-21 05:35:34,spring,2007,20,KRIW,1179725734,KRIW20070521_053340.gz
2007-05-21,2007-05-22 05:36:34,spring,2007,21,KRIW,1179812194,KRIW20070522_053526.gz
2007-05-22,2007-05-23 05:37:33,spring,2007,21,KRIW,1179898653,KRIW20070523_053832.gz
2007-05-23,2007-05-24 05:38:31,spring,2007,21,KRIW,1179985111,KRIW20070524_053630.gz
2007-05-24,2007-05-25 05:39:28,spring,2007,21,KRIW,1180071568,KRIW20070525_054136.gz
